"id","year","temperaturamnimaextrema_acum","latitud","longitud","geom"
274,"2012",3.0,19.0475,-100.17667,POINT (-100.17666625976562 19.047500610351562)
275,"2012",3.0,19.05139,-99.531944,POINT (-99.53194427490234 19.051389694213867)
276,"2012",3.0,19.428055,-99.6125,POINT (-99.61250305175781 19.428054809570312)
277,"2012",3.0,19.622223,-100.685555,POINT (-100.68555450439453 19.622222900390625)
278,"2012",3.0,19.769167,-100.140274,POINT (-100.14027404785156 19.769166946411133)
279,"2012",3.0,19.864721,-98.355835,POINT (-98.3558349609375 19.864721298217773)
280,"2012",3.0,19.897223,-103.787224,POINT (-103.78722381591797 19.8972225189209)
281,"2012",3.0,19.9075,-100.31917,POINT (-100.31916809082031 19.907499313354492)
282,"2012",3.0,19.944166,-98.75389,POINT (-98.75389099121094 19.94416618347168)
283,"2012",3.0,20.084167,-99.906944,POINT (-99.90694427490234 20.08416748046875)
284,"2012",3.0,20.225555,-99.88917,POINT (-99.88916778564453 20.225555419921875)
285,"2012",3.0,21.782778,-102.5175,POINT (-102.51750183105469 21.782777786254883)
286,"2012",3.0,21.836666,-102.71167,POINT (-102.711669921875 21.836666107177734)
287,"2012",3.0,21.866112,-101.593056,POINT (-101.59305572509766 21.866111755371094)
288,"2012",3.0,22.083055,-102.09111,POINT (-102.09111022949219 22.08305549621582)
289,"2012",3.0,24.696388,-100.44195,POINT (-100.44194793701172 24.696388244628906)
290,"2012",3.0,24.781666,-102.175,POINT (-102.17500305175781 24.781665802001953)
291,"2012",3.0,25.346111,-100.28,POINT (-100.27999877929688 25.346111297607422)
292,"2012",3.1,19.719444,-100.04195,POINT (-100.04194641113281 19.719444274902344)
